strategy,symbol,hour,n,wins,total,avg,hit
order_block,6E,22,11,6,543.3400083609872,49.3945462146352,54.54545454545454
bollinger_squeeze_break,ZB,15,16,7,541.612500000014,33.85078125000088,43.75
bollinger_squeeze_break,6E,6,7,4,536.6052361761733,76.65789088231047,57.14285714285714
order_block,ZB,12,6,4,530.9098214285978,88.48497023809962,66.66666666666666
opening_range_breakout,ZT,9,22,9,530.0401785714448,24.09273538961113,40.909090909090914
vol_spike_fade,ES,1,7,5,529.121428571422,75.58877551020315,71.42857142857143
opening_range_breakout,CL,20,7,3,527.1612736293307,75.30875337561868,42.857142857142854
donchian_breakout,ZT,2,12,2,525.3937499999147,43.78281249999289,16.666666666666664
vol_spike_fade,6E,3,9,6,525.2037922245797,58.35597691384219,66.66666666666666
vol_regime_trend,ZN,18,6,4,524.874999999983,87.47916666666383,66.66666666666666
pivot_reversal,ZB,14,28,12,524.8580357143059,18.744929846939495,42.857142857142854
volume_spike_reversal,6E,7,10,5,524.0646940332352,52.40646940332353,50.0
gap_fill,ZN,2,62,38,523.7187500001421,8.447076612905517,61.29032258064516
pivot_reversal,6E,9,53,22,521.337214183835,9.836551211015756,41.509433962264154
donchian_breakout,ZF,9,6,3,520.5250000000001,86.75416666666668,50.0
pivot_reversal,NQ,23,8,4,520.4392857142752,65.0549107142844,50.0
bollinger_squeeze_break,NG,13,5,3,519.7707521438598,103.95415042877195,60.0
opening_range_breakout,NG,5,23,8,518.3185646602022,22.53558976783488,34.78260869565217
support_resistance_bounce,NG,10,20,3,517.4782201221942,25.87391100610971,15.0
gap_fill_wide,ZN,18,8,3,516.169642857153,64.52120535714413,37.5
order_block,ZN,12,6,4,512.7125000000568,85.4520833333428,66.66666666666666
support_resistance_bounce,ZT,13,13,2,509.7075892858361,39.20827609891047,15.384615384615385
vol_spike_fade,ZN,16,5,4,509.5866071428328,101.91732142856657,80.0
support_resistance_bounce,ZB,20,28,4,509.36607142865466,18.191645408166238,14.285714285714285
pivot_reversal,NG,5,38,16,509.15390832084313,13.398787061074819,42.10526315789473
gap_fill,ZF,5,9,5,508.051339285694,56.45014880952155,55.55555555555556
pivot_reversal,NQ,0,15,6,506.3928571429714,33.75952380953143,40.0
support_resistance_bounce,ES,8,8,2,506.12857142862333,63.266071428577916,25.0
pivot_reversal,ES,1,20,8,504.667857142935,25.23339285714675,40.0
fair_value_gap,ZB,15,27,11,503.5303571428328,18.649272486771586,40.74074074074074
support_resistance_bounce,ZB,9,25,6,502.5142857143485,20.10057142857394,24.0
rsi2_extreme_reversion,6E,4,17,5,501.2990224838257,29.488177793166216,29.411764705882355
keltner_breakout,ZB,11,23,9,494.2875000000113,21.490760869565708,39.130434782608695
pivot_reversal,ZN,1,13,6,490.86116071417825,37.75855082416756,46.15384615384615
rsi2_extreme_reversion,6E,14,10,2,489.4897060394287,48.94897060394287,20.0
order_block,ZN,19,11,6,488.5723214285837,44.4156655844167,54.54545454545454
inside_bar_break,ES,20,18,6,488.3714285714675,27.131746031748193,33.33333333333333
order_block,ZB,20,40,16,483.05624999997167,12.076406249999291,40.0
bollinger_squeeze_break,ZF,6,7,4,481.3312500000853,68.76160714286932,57.14285714285714
support_resistance_bounce,ZB,15,15,3,480.8642857141639,32.05761904761093,20.0
gap_fill,NG,23,12,9,478.0738059452443,39.83948382877036,75.0
volume_spike_reversal,ZN,3,8,6,477.64285714277594,59.70535714284699,75.0
volume_spike_reversal,ZB,2,15,11,477.0535714284699,31.803571428564663,73.33333333333333
inside_bar_break,NQ,22,7,3,474.9714285713765,67.85306122448236,42.857142857142854
bollinger_squeeze_break,NG,5,7,4,471.6810712541795,67.38301017916851,57.14285714285714
vol_spike_fade,ZB,14,6,4,469.8571428571388,78.30952380952313,66.66666666666666
donchian_breakout,ZT,7,15,3,468.1375000001534,31.209166666676893,20.0
vol_spike_fade,ZB,23,10,6,466.70000000001426,46.67000000000142,60.0
vol_regime_trend,ZN,13,5,3,466.287500000017,93.2575000000034,60.0
